Collection,Lot ,ind,SL (mm),Lateral Line,Above Lateral Line,Below Lateral Line,Transverse,Caudal Peduncle,D1,D2,A1,P1,Dorsals attached?,Spots after R1 of D1,M/F,Locality,Notes,
UT,91.7665,1,50,42,4,5,10,13,10,12,7,14,,,,Elk ,,
UT,91.7665,2,52,42,4,6,11,15,11,12,7,14,,,,Elk ,,
UT,91.7665,3,48,41,4,5,10,14,11,12,6,13,,,,Elk ,,
UT,91.7665,4,45,45,5,6,12,15,12,13,7,14,,,,Elk ,,
UT,91.7665,5,42,43,4,6,12,15,11,13,7,12,,,,Elk ,,
UT,91.7665,6,41,45,4,6,12,14,11,10,6,13,,,,Elk ,,
UT,91.7665,7,35,42,4,6,12,16,10,9,6,14,,,,Elk ,,
UT,91.7665,8,39,44,5,7,12,14,12,12,6,13,,,,Elk ,,
UT,91.7665,9,34,41,4,5,12,16,12,12,6,13,,,,Elk ,,
UT,91.7665,10,54,46,5,7,14,15,11,13,8,14,,,,Elk ,,
UT,91.7093,1,32,44,4,6,12,16,11,11,4,14,,,,Flint,,
UT,91.7093,2,36,45,4,6,12,15,11,12,7,13,,,,Flint,,
UT,91.7093,3,33,43,4,6,12,14,11,12,5,11,,,,Flint,,
UT,91.7093,4,40,49,4,7,13,15,12,12,7,13,,,,Flint,,
UT,91.7093,5,43,47,4,6,12,16,12,12,8,14,,,,Flint,,
UT,91.7093,6,42,48,4,6,12,16,11,12,7,13,,,,Flint,,
UT,91.7093,7,40,43,4,7,12,17,12,12,7,13,,,,Flint,,
UT,91.7093,8,38,49,4,6,11,15,12,11,7,13,,,,Flint,,
UT,91.7093,9,39,46,4,6,11,15,10,12,7,14,,,,Flint,,
UT,91.7093,10,36,47,4,7,13,14,11,11,7,14,,,,Flint,,
UT,91.7093,11,36,44,4,7,13,16,11,13,7,13,,,,Flint,,
UT,91.7093,12,35,52,4,7,13,15,10,12,7,12,,,,Flint,,
UT,91.7093,13,34,48,5,8,14,15,10,11,7,12,,,,Flint,,
UT,91.7093,14,30,43,4,7,13,14,11,11,7,12,,,,Flint,,
UT,91.6255,1,37,49,5,6,12,16,11,12,7,13,,,,Elk,,
UT,91.6255,2,33,47,4,6,12,16,11,11,6,15,,,,Elk,,
UT,91.6255,3,43,56,5,6,12,17,10,12,8,14,,,,Elk,,
UT,91.6255,4,37,42,4,7,13,16,11,11,6,13,,,,Elk,,
UT,91.6255,5,33,44,5,8,14,14,11,12,5,15,,,,Elk,,
UT,91.6255,6,40,45,5,7,13,15,11,7,6,14,,,,Elk,,
